,Subsystem,p-Value,recall,target_lenght
15,S_Urea_cycleamino_group_metabolism,1.0,0.0,0.0
12,S_Aromatic_Compounds_Degradation__Homogentisate_pathway,1.0,0.0,0.0
84,Murein Recycling,1.0,0.0,0.0
77,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis,1.0,0.0,0.0
70,S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,1.0,0.0,0.0
79,S_Nucleotide_Salvage_Pathway,1.0,0.0,0.0
80,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,1.0,0.0,0.0
81,S_Phosphonate_and_phosphinate_metabolism,1.0,0.0,0.0
82,S_Inorganic_polyphosphates_metabolism,1.0,0.0,0.0
83,S_Alternate_Carbon__Ribose_Metabolism,1.0,0.0,0.0
6,S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis,1.0,0.0,0.0
11,S_Glycolysis,1.0,0.0,0.0
45,Biomass and maintenance functions,1.0,0.0,0.0
19,S_Gluconeogenesis,1.0,0.0,0.0
47,S_Glutamate_Metabolism,1.0,0.0,0.0
49,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,1.0,0.0,0.0
50,S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism,1.0,0.0,0.0
51,S_Oxidative_Phosphorylation,1.0,0.0,0.0
33,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism,1.0,0.0,0.0
30,S_Glycine__Serine_and_threonine_metabolism,1.0,0.0,0.0
29,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,1.0,0.0,0.0
56,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,1.0,0.0,0.0
57,S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,1.0,0.0,0.0
59,S_Histidine_Metabolism,1.0,0.0,0.0
27,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism,1.0,0.0,0.0
61,S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,1.0,0.0,0.0
63,S_Pentose_Phosphate_Pathway,1.0,0.0,0.0
25,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,1.0,0.0,0.0
41,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis,1.0,0.0,0.0
69,S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,1.0,0.0,0.0
20,S_Alternate_Carbon__Propanoate_Metabolism,1.0,0.0,0.0
